id,name,year,tournaments,points
697,kors,2022,0,24
19,МонЕ,2022,0,22
162,Водопад,2022,0,20
438,Монарх,2022,0,18
438,Монарх,2024,20,185
438,Монарх,2025,8,103
461,Saint-P,2022,0,16
70,Гендальф,2022,0,14
70,Гендальф,2025,9,128
1700,ReviZor,2022,0,14
338,Сова,2022,0,12
338,Сова,2023,13,160
575,Ferrari,2022,0,12
575,Ferrari,2023,19,237
575,Ferrari,2024,27,416
575,Ferrari,2025,17,438
225,Сурочек,2022,0,10
225,Сурочек,2023,17,247
1115,РФ,2023,29,391
1115,РФ,2024,31,408
1115,РФ,2025,16,288
159,Градиент,2023,34,381
159,Градиент,2024,24,372
159,Градиент,2025,17,387
993,Арривидерчи,2023,26,375
266,BWDMoscow,2023,28,368
867,Фреско,2023,14,348
867,Фреско,2024,16,343
867,Фреско,2025,13,371
1544,Кэтти,2023,20,330
1544,Кэтти,2024,21,395
1041,Loki,2023,32,320
1041,Loki,2024,27,290
279,007,2022,0,5
279,007,2023,38,318
279,007,2025,23,310
789,Растишка,2023,41,318
789,Растишка,2024,38,298
333,Тихий Закат,2023,33,318
820,Шпагат,2024,32,369
999,Unicef,2024,29,366
250,BackInBlack,2024,19,354
250,BackInBlack,2025,9,244
1125,Игрок 9,2024,28,354
218,Гордон,2023,17,255
218,Гордон,2024,28,343
218,Гордон,2025,10,101
264,ДаФомин,2025,32,336
721,Insight,2025,18,300
1681,Просто Толя,2025,24,241
259,Варик,2025,14,237
1361,Natumba,2022,0,5
10,Mavl,2022,0,0
15,Ардыльян,2022,0,0
17,Крёстный Отец,2022,0,0
17,Крёстный Отец,2024,27,303
18,M. Bellucci,2022,0,0
20,Адвокат,2022,0,0
24,Декстер,2022,0,0
26,sluggy,2022,0,0
1072,Берлускони,2023,29,309
258,Флай,2024,34,299
1401,Неон,2025,16,223
1373,ZHIREKTOR,2025,16,217
1435,MSR,2025,18,197
67,Стоников,2025,16,180
1,fx,2022,0,0
1,fx,2025,6,74
2,Malinka,2022,0,0
2,Malinka,2023,20,127
2,Malinka,2024,5,55
2,Malinka,2025,5,81
3,Ols,2022,0,0
4,Rob,2022,0,0
5,Элишка,2022,0,0
6,Малина,2022,0,0
7,QoodrooQ,2022,0,0
16,Барс,2022,0,0
21,Венера,2022,0,0
23,Гаечка,2022,0,0
23,Гаечка,2023,26,127
23,Гаечка,2025,11,91
146,Йогурт,2023,25,267
1350,LeBron,2023,9,182
2008,Ривер,2023,13,157
2008,Ривер,2024,24,89
2008,Ривер,2025,9,76
959,Link,2023,16,130
