id,name,club,year,page,region_for_year,points,elo,tournaments,regions_seen,region_by_year_full,last_seen_region,last_seen_year,last_seen_page
,,,2022,1,all|central|chernozem_region|north|siberia_and_ural|far_east|volga_region,,,,all|central|chernozem_region|north|siberia_and_ural|far_east|volga_region,"{""2022"": [""all"", ""central"", ""chernozem_region"", ""north"", ""siberia_and_ural"", ""far_east"", ""volga_region""], ""2023"": [""all"", ""central"", ""chernozem_region"", ""north"", ""siberia_and_ural"", ""far_east"", ""volga_region""], ""2024"": [""all"", ""central"", ""chernozem_region"", ""north"", ""siberia_and_ural"", ""far_east"", ""volga_region""], ""2025"": [""all"", ""central"", ""chernozem_region"", ""north"", ""siberia_and_ural"", ""far_east"", ""volga_region""]}",volga_region,2025,1
,,,2023,1,all|central|chernozem_region|north|siberia_and_ural|far_east|volga_region,,,,all|central|chernozem_region|north|siberia_and_ural|far_east|volga_region,"{""2022"": [""all"", ""central"", ""chernozem_region"", ""north"", ""siberia_and_ural"", ""far_east"", ""volga_region""], ""2023"": [""all"", ""central"", ""chernozem_region"", ""north"", ""siberia_and_ural"", ""far_east"", ""volga_region""], ""2024"": [""all"", ""central"", ""chernozem_region"", ""north"", ""siberia_and_ural"", ""far_east"", ""volga_region""], ""2025"": [""all"", ""central"", ""chernozem_region"", ""north"", ""siberia_and_ural"", ""far_east"", ""volga_region""]}",volga_region,2025,1
,,,2024,1,all|central|chernozem_region|north|siberia_and_ural|far_east|volga_region,,,,all|central|chernozem_region|north|siberia_and_ural|far_east|volga_region,"{""2022"": [""all"", ""central"", ""chernozem_region"", ""north"", ""siberia_and_ural"", ""far_east"", ""volga_region""], ""2023"": [""all"", ""central"", ""chernozem_region"", ""north"", ""siberia_and_ural"", ""far_east"", ""volga_region""], ""2024"": [""all"", ""central"", ""chernozem_region"", ""north"", ""siberia_and_ural"", ""far_east"", ""volga_region""], ""2025"": [""all"", ""central"", ""chernozem_region"", ""north"", ""siberia_and_ural"", ""far_east"", ""volga_region""]}",volga_region,2025,1
,,,2025,1,all|central|chernozem_region|north|siberia_and_ural|far_east|volga_region,,,,all|central|chernozem_region|north|siberia_and_ural|far_east|volga_region,"{""2022"": [""all"", ""central"", ""chernozem_region"", ""north"", ""siberia_and_ural"", ""far_east"", ""volga_region""], ""2023"": [""all"", ""central"", ""chernozem_region"", ""north"", ""siberia_and_ural"", ""far_east"", ""volga_region""], ""2024"": [""all"", ""central"", ""chernozem_region"", ""north"", ""siberia_and_ural"", ""far_east"", ""volga_region""], ""2025"": [""all"", ""central"", ""chernozem_region"", ""north"", ""siberia_and_ural"", ""far_east"", ""volga_region""]}",volga_region,2025,1
697,kors,,2022,1,all|siberia_and_ural,24,1886,0,all|siberia_and_ural,"{""2022"": [""all"", ""siberia_and_ural""]}",siberia_and_ural,2022,1
697,kors,,2023,1,,,,,all|siberia_and_ural,"{""2022"": [""all"", ""siberia_and_ural""]}",siberia_and_ural,2022,1
697,kors,,2024,1,,,,,all|siberia_and_ural,"{""2022"": [""all"", ""siberia_and_ural""]}",siberia_and_ural,2022,1
697,kors,,2025,1,,,,,all|siberia_and_ural,"{""2022"": [""all"", ""siberia_and_ural""]}",siberia_and_ural,2022,1
19,МонЕ,,2022,1,all|central,22,1919,0,all|central,"{""2022"": [""all"", ""central""]}",central,2022,1
19,МонЕ,,2023,1,,,,,all|central,"{""2022"": [""all"", ""central""]}",central,2022,1
19,МонЕ,,2024,1,,,,,all|central,"{""2022"": [""all"", ""central""]}",central,2022,1
19,МонЕ,,2025,1,,,,,all|central,"{""2022"": [""all"", ""central""]}",central,2022,1
162,Водопад,,2022,1,all,20,1956,0,all,"{""2022"": ""all""}",all,2022,1
162,Водопад,,2023,1,,,,,all,"{""2022"": ""all""}",all,2022,1
162,Водопад,,2024,1,,,,,all,"{""2022"": ""all""}",all,2022,1
162,Водопад,,2025,1,,,,,all,"{""2022"": ""all""}",all,2022,1
438,Монарх,,2022,1,all|siberia_and_ural,18,2385,0,all|siberia_and_ural,"{""2022"": [""all"", ""siberia_and_ural""], ""2024"": ""siberia_and_ural"", ""2025"": ""siberia_and_ural""}",siberia_and_ural,2025,1
438,Монарх,,2023,1,,,,,all|siberia_and_ural,"{""2022"": [""all"", ""siberia_and_ural""], ""2024"": ""siberia_and_ural"", ""2025"": ""siberia_and_ural""}",siberia_and_ural,2025,1
438,Монарх,,2024,1,siberia_and_ural,185,2385,20,all|siberia_and_ural,"{""2022"": [""all"", ""siberia_and_ural""], ""2024"": ""siberia_and_ural"", ""2025"": ""siberia_and_ural""}",siberia_and_ural,2025,1
438,Монарх,,2025,1,siberia_and_ural,103,2385,8,all|siberia_and_ural,"{""2022"": [""all"", ""siberia_and_ural""], ""2024"": ""siberia_and_ural"", ""2025"": ""siberia_and_ural""}",siberia_and_ural,2025,1
461,Saint-P,,2022,1,all|north,16,2218,0,all|north,"{""2022"": [""all"", ""north""]}",north,2022,1
461,Saint-P,,2023,1,,,,,all|north,"{""2022"": [""all"", ""north""]}",north,2022,1
461,Saint-P,,2024,1,,,,,all|north,"{""2022"": [""all"", ""north""]}",north,2022,1
461,Saint-P,,2025,1,,,,,all|north,"{""2022"": [""all"", ""north""]}",north,2022,1
70,Гендальф,,2022,1,all|volga_region,14,2501,0,all|volga_region,"{""2022"": [""all"", ""volga_region""], ""2025"": ""volga_region""}",volga_region,2025,1
70,Гендальф,,2023,1,,,,,all|volga_region,"{""2022"": [""all"", ""volga_region""], ""2025"": ""volga_region""}",volga_region,2025,1
70,Гендальф,,2024,1,,,,,all|volga_region,"{""2022"": [""all"", ""volga_region""], ""2025"": ""volga_region""}",volga_region,2025,1
70,Гендальф,,2025,1,volga_region,128,2501,9,all|volga_region,"{""2022"": [""all"", ""volga_region""], ""2025"": ""volga_region""}",volga_region,2025,1
1700,ReviZor,,2022,1,all,14,1967,0,all,"{""2022"": ""all""}",all,2022,1
1700,ReviZor,,2023,1,,,,,all,"{""2022"": ""all""}",all,2022,1
1700,ReviZor,,2024,1,,,,,all,"{""2022"": ""all""}",all,2022,1
1700,ReviZor,,2025,1,,,,,all,"{""2022"": ""all""}",all,2022,1
338,Сова,,2022,1,all|volga_region,12,2483,0,all|volga_region,"{""2022"": [""all"", ""volga_region""], ""2023"": ""volga_region""}",volga_region,2023,1
